"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Taxon author","Name qualifier","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End date day","End date month","End date year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Vitality"
"f0f1d035-0fef-49ca-b5b1-c2b88df2d8b2","101294131","CC-BY-NC","BTO","Parus major","Linnaeus, 1758","","Great Tit","NHMSYS0000530533","species","present","","","09","2019","","","","","","NY0130","54.659929","-3.528465","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","NY","NY03","NY03A","NY0130","United Kingdom","England","alive"
"eeb67c0a-d6ef-432d-be40-9bb936c3e897","119143303","CC-BY-NC","BTO","Parus major","Linnaeus, 1758","","Great Tit","NHMSYS0000530533","species","present","","","09","2019","","","","","","NY5129","54.658244","-2.753311","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","NY","NY52","NY52E","NY5129","United Kingdom","England","alive"
"ede2c979-70ae-42d1-a701-96f42d358c2c","110849465","CC-BY-NC","BTO","Parus major","Linnaeus, 1758","","Great Tit","NHMSYS0000530533","species","present","2019-09-23","23","09","2019","","","","","","NX9256","54.891638","-3.677559","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","NX","NX95","NX95I","NX9256","United Kingdom","Scotland","alive"
"edb68cfc-20fc-4301-8fd6-ad071d80b980","114418344","CC-BY-NC","BTO","Parus major","Linnaeus, 1758","","Great Tit","NHMSYS0000530533","species","present","2019-09-25","25","09","2019","","","","","","NX9256","54.891638","-3.677559","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","NX","NX95","NX95I","NX9256","United Kingdom","Scotland","alive"
"ed339a57-5a10-42ab-ada6-874c3d096270","115677135","CC-BY-NC","BTO","Parus major","Linnaeus, 1758","","Great Tit","NHMSYS0000530533","species","present","","","09","2019","","","","","","SD3878","54.198548","-2.944197","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","SD","SD37","SD37Z","SD3878","United Kingdom","England","alive"
"ed187f2e-9d64-4405-bd07-81d64fb456e9","113578465","CC-BY-NC","BTO","Parus major","Linnaeus, 1758","","Great Tit","NHMSYS0000530533","species","present","","","09","2019","","","","","","SD5292","54.325851","-2.731846","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","SD","SD59","SD59G","SD5292","United Kingdom","England","alive"
"ea31777f-cc14-4fa5-86ec-a5b5b905fea8","122084922","CC-BY-NC","BTO","Parus major","Linnaeus, 1758","","Great Tit","NHMSYS0000530533","species","present","2019-09-19","19","09","2019","","","","","","SD2297","54.367097","-3.194329","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","SD","SD29","SD29I","SD2297","United Kingdom","England","alive"
"e99e4ebd-2636-4a08-a675-4f10f4d00d8c","106964879","CC-BY-NC","BTO","Parus major","Linnaeus, 1758","","Great Tit","NHMSYS0000530533","species","present","2019-09-12","12","09","2019","","","","","","NY4654","54.882375","-2.835424","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","NY","NY45","NY45S","NY4654","United Kingdom","England","alive"
"e7a44102-16ed-4443-a163-ee3a48979ebe","104234373","CC-BY-NC","BTO","Parus major","Linnaeus, 1758","","Great Tit","NHMSYS0000530533","species","present","2019-09-29","29","09","2019","","","","","","SD49E","54.383057","-2.909934","1414.2","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","SD","SD49","SD49E","","United Kingdom","England","alive"
"e6258468-7645-48ae-a24e-6b702b00cc4b","121243328","CC-BY-NC","BTO","Parus major","Linnaeus, 1758","","Great Tit","NHMSYS0000530533","species","present","","","09","2019","","","","","","SD4678","54.199447","-2.821584","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","SD","SD47","SD47U","SD4678","United Kingdom","England","alive"
